a.	a.
a/a	a/a
AA.	aa.
AA.RR.	aa.rr.
ab.	ab.
abr.	abr.
abrev.	abrev.
abs.	abs.
a.C.	a.c.
Adj.	adj.
admón.	admón.
Adv.	adv.
a.m.	a.m.
anál.	anál.
ant.	ant.
Ap.	ap.
Apdo.	apdo.
aprox.	aprox.
arch.	arch.
Arq.	arq.
art.	art.
art.º	art.º
Arz.	arz.
Arzbpo.	arzbpo.
Atlco.	atlco.
atl.º	atl.º
atte.	atte.
atto.	atto.
aux.	aux.
Av.	av.
Avda.	avda.
Avd.	avd.
Ayto.	ayto.
b.	b.
Bco.	bco.
bda.	bda.
bibl.	bibl.
blv.	blv.
B.º	b.º
Brig.	brig.
Bs.	bs.
Bs.F.	bs.f.
Btá.	btá.
bv.	bv.
cap.	cap.
c/	c/
c.	c.
C.	c.
c/c	c/c
CC.	cc.
Cdad.	cdad.
cents.	cents.
cénts.	cénts.
Cía.	cía.
cit.	cit.
col.	col.
cta.	cta.
cte.	cte.
ctra.	ctra.
c/u	c/u
D.ª	d.ª
d.C.	d.c.
Dcha.	dcha.
D.	d.
depto.	depto.
der.	der.
desus.	desus.
dicc.	dicc.
Dir.	dir.
doc.	doc.
dpto.	dpto.
Dpt.º	dpt.º
Dra.	dra.
Dr.	dr.
dto.	dto.
Dtto.	dtto.
dupdo.	dupdo.
e.d.	e.d.
ed.	ed.
Ed.	ed.
Edit.	edit.
Edo.	edo.
e.	e.
EE.	ee.
ej.	ej.
Emmo.	emmo.
entlo.	entlo.
etc.	etc.
Exc.ª	exc.ª
Excma.	excma.
Excmo.	excmo.
ext.	ext.
F.C.	f.c.
Fdo.	fdo.
f.	f.
FF.	ff.
fig.	fig.
geneal.	geneal.
genét.	genét.
gén.	gén.
geogr.	geogr.
geom.	geom.
gimn.	gimn.
glob.	glob.
Gob.	gob.
gpo.	gpo.
gráf.	gráf.
Gral.	gral.
gralte.	gralte.
gta.	gta.
hab.	hab.
ib.	ib.
ibid.	ibid.
íd.	íd.
i.	i.
Ilma.	ilma.
Ilmo.	ilmo.
Iltre.	iltre.
imp.	imp.
i/v	i/v
izda.	izda.
izqda.	izqda.
izq.	izq.
JJ.	jj.
JJ.OO.	jj.oo.
lab.	lab.
Lcda.	lcda.
Lcdo.	lcdo.
Lda.	lda.
Ldo.	ldo.
Lic.	lic.
lit.	lit.
l.	l.
long.	long.
l.oo.	l.oo.
Ltda.	ltda.
ltdo.	ltdo.
mat.	mat.
máx.	máx.
mét.	mét.
min.	min.
mín.	mín.
m.	m.
MM.	mm.
Mons.	mons.
Mtra.	mtra.
Mtr.	mtr.
Mtro.	mtro.
n.	n.
NN.	nn.
n.º 	n.º
Ntra.	ntra.
núm.	num.
núm.	núm.
ob.	ob.
Obpo.	obpo.
o.	o.
OO.	oo.
pág.	pág.
págs.	págs.
párr.	párr.
Pdta.	pdta.
Pdte.	pdte.
Ph.D.	ph.d.
pl.	pl.
Plza.	plza.
p.m.	p.m.
Pol.	pol.
p.º	p.º
p.	p.
pp.	pp.
pral.	pral.
Prof.ª	prof.ª
Prof.	prof.
pról.	pról.
Ptos	ptos
pza.	pza.
P.za	p.za
R.D.	r.d.
reg.	reg.
rel.	rel.
Rep.	rep.
Rma.	rma.
Rmo.	rmo.
RR.	rr.
Rte.	rte.
sarg.	sarg.
Sdad.	sdad.
secret.ª	secret.ª
send.	send.
serv.	serv.
seud.	seud.
s/f	s/f
sig.	sig.
spre.	spre.
Sra.	sra.
Sres.	sres.
Sr.	sr.
Srs.	srs.
Srta.	srta.
s.	s.
ss.	ss.
SS.	ss.
Sta.	sta.
Sto.	sto.
sup.	sup.
teléf.	teléf.
tfno.	tfno.
tít.	tit.
tít.	tít.
trad.	trad.
Uds.	uds.
Ud.	ud.
Univ.	univ.
urb.	urb.
Vds.	vds.
Vd.	vd.
vol.	vol.
v.	v.
VV.	vv.
