a.Chr.	a.chr.
A.I.	a.i.
al.	al.
amer.	amer.
a.n.Chr.	a.n.chr.
ang.	ang.
a.p.C.	a.p.c.
arch.	arch.
archit.	archit.
art.	art.
austral.	austral.
b.	b.
belg.	belg.
białorus.	białorus.
bł.	bł.
blp.	blp.
błp.	błp.
bm.	bm.
bot.	bot.
b.r.	b.r.
br.	br.
bryt.	bryt.
bułg.	bułg.
c.b.d.o.	c.b.d.o.
cd.	cd.
cdn.	cdn.
chem.	chem.
chor.	chor.
Chr.	chr.
chrześc.	chrześc.
cieśn.	cieśn.
cit.	cit.
c.o.	c.o.
cyt.	cyt.
cz.	cz.
czes.	czes.
cz.ter.	cz.ter.
czw.	czw.
czyt.	czyt.
d.	d.
dent.	dent.
dep.	dep.
doc.	doc.
dol.	dol.
dosł.	dosł.
dot.	dot.
druk.	druk.
ds.	ds.
dyr.	dyr.
dz.	dz.
e.a.	e.a.
est.	est.
etc.	etc.
europ.	europ.
ew.	ew.
farm.	farm.
flam.	flam.
fot.	fot.
fragm.	fragm.
franc.	franc.
fr.	fr.
gen.	gen.
geol.	geol.
G.	g.
godz.	godz.
gr.	gr.
hab.	hab.
hist.	hist.
hiszp.	hiszp.
hol.	hol.
hr.	hr.
ib.	ib.
ibid.	ibid.
im.	im.
in.	in.
inst.	inst.
inż.	inż.
iron.	iron.
itd.	itd.
itp.	itp.
jęz.	jęz.
j.m.	j.m.
jun.	jun.
jw.	jw.
jwt.	jwt.
kard.	kard.
k.c.	k.c.
k.	k.
k.k.	k.k.
kor.	kor.
k.p.a.	k.p.a.
k.p.c	k.p.c
kpt.	kpt.
k.r.	k.r.
ks.	ks.
łac.	łac.
l.c.	l.c.
l.dz.	l.dz.
ldz.	ldz.
lek.	lek.
lic.	lic.
lit.	lit.
l.	l.
lm.	lm.
lmn.	lmn.
log.	log.
łow.	łow.
lp.	lp.
mat.	mat.
maz.	maz.
m.b.	m.b.
med.	med.
mies.	mies.
m.in.	m.in.
min.	min.
mkw.	mkw.
mł.	mł.
m.	m.
muz.	muz.
nadzw.	nadzw.
nast.	nast.
nb.	nb.
n.e.	n.e.
niedz.	niedz.
niem.	niem.
nlb.	nlb.
n.	n.
norw.	norw.
n.p.m.	n.p.m.
np.	np.
nt.	nt.
N.T.	n.t.
nw.	nw.
ob.	ob.
o.c.	o.c.
odc.	odc.
odp.	odp.
o.o.	o.o.
oo.	oo.
op.	op.
os.	os.
pb.	pb.
p.Chr.	p.chr.
płd.	płd.
płk.	płk.
płn.	płn.
pl.	pl.
p.m.	p.m.
p.n.e.	p.n.e.
pn.	pn.
poch.	poch.
poj.	poj.
pol.	pol.
pom.	pom.
pon.	pon.
p.o.	p.o.
poprz.	poprz.
por.	por.
posp.	posp.
pot.	pot.
pow.	pow.
poz.	poz.
p.	p.
ppoż	ppoż
pp.	pp.
proc.	proc.
prof.	prof.
p.r.	p.r.
p.r.v.	p.r.v.
przest.	przest.
pseud.	pseud.
ps.	ps.
psych.	psych.
pt.	pt.
pw.	pw.
reg.	reg.
rel.	rel.
r.n.	r.n.
ros.	ros.
rozdz.	rozdz.
r.	r.
rtg.	rtg.
rum.	rum.
ryc.	ryc.
rys.	rys.
S.A.	s.a.
sek.	sek.
sen.	sen.
serb.	serb.
sierż.	sierż.
skand.	skand.
sp.	sp.
ś.p.	ś.p.
śp.	śp.
śr.	śr.
ss.	ss.
starop.	starop.
staroż.	staroż.
stom.	stom.
str.	str.
st.	st.
św.	św.
sygn.	sygn.
szer.	szer.
szt.	szt.
szwajc.	szwajc.
szwedz.	szwedz.
tab.	tab.
teatr.	teatr.
techn.	techn.
tel.	tel.
ter.	ter.
tj.	tj.
tłum.	tłum.
tow.	tow.
trl.	trl.
tryb.	tryb.
t.	t.
tys.	tys.
tzn.	tzn.
tzw.	tzw.
ub.	ub.
ukr.	ukr.
ul.	ul.
ur.	ur.
vs.	vs.
v.	v.
v.v.	v.v.
wet.	wet.
wlkp.	wlkp.
wlk.	wlk.
wł.	wł.
wojsk.	wojsk.
woj.	woj.
wroc.	wroc.
wsch.	wsch.
współ.	współ.
wsp.	wsp.
ws.	ws.
wt.	wt.
wulg.	wulg.
w.	w.
ww.	ww.
wydz.	wydz.
wyj.	wyj.
wym.	wym.
wyż.	wyż.
wzgl.	wzgl.
zach.	zach.
zagr.	zagr.
żart.	żart.
żeń.	żeń.
zn.	zn.
zob.	zob.
zool.	zool.
źr.	źr.
zwł.	zwł.
